Date,Open,High,Low,Close,Volume
10/25/2024,"256.01","269.49","255.32","269.19","161,611,906"
10/24/2024,"244.68","262.12","242.65","260.48","204,491,906"
10/23/2024,"217.13","218.72","212.11","213.65","80,938,891"
10/22/2024,"217.31","218.22","215.26","217.97","43,268,738"
10/21/2024,"218.90","220.48","215.73","218.85","47,328,992"
10/18/2024,"220.71","222.28","219.23","220.70","49,611,871"
10/17/2024,"221.59","222.08","217.90","220.89","50,791,781"
10/16/2024,"221.40","222.82","218.93","221.33","49,632,820"
10/15/2024,"220.01","224.26","217.12","219.57","62,988,793"
10/14/2024,"220.13","221.91","213.74","219.16","86,291,922"
10/11/2024,"220.13","223.34","214.38","217.80","142,628,891"
10/10/2024,"241.81","242.79","232.34","238.77","83,087,055"
10/09/2024,"243.82","247.43","239.51","241.05","66,289,531"
10/08/2024,"243.56","246.21","240.56","244.50","56,303,160"
10/07/2024,"249.00","249.83","240.70","240.83","68,113,273"
10/04/2024,"246.69","250.96","244.58","250.08","86,726,289"
10/03/2024,"244.48","249.79","237.81","240.66","80,729,242"
10/02/2024,"247.55","251.16","241.50","249.02","93,983,930"
10/01/2024,"262.67","263.98","248.53","258.02","87,397,609"
09/30/2024,"259.04","264.86","255.77","261.63","80,873,375"
09/27/2024,"257.38","260.70","254.12","260.46","70,988,070"
09/26/2024,"260.60","261.75","251.53","254.22","67,142,195"
09/25/2024,"252.54","257.05","252.28","257.02","65,034,320"
09/24/2024,"254.08","257.19","249.05","254.27","88,491,000"
09/23/2024,"242.61","250.00","241.92","250.00","86,927,195"
09/20/2024,"241.52","243.99","235.92","238.25","99,879,070"
09/19/2024,"234.00","244.24","232.13","243.92","102,694,602"
09/18/2024,"230.09","235.68","226.88","227.20","78,010,203"
09/17/2024,"229.45","234.57","226.55","227.87","66,761,641"
09/16/2024,"229.30","229.96","223.53","226.78","54,323,000"
09/13/2024,"228.00","232.67","226.32","230.29","59,515,113"
09/12/2024,"224.66","231.45","223.83","229.81","72,020,039"
09/11/2024,"224.55","228.47","216.80","228.13","83,548,633"
09/10/2024,"220.07","226.40","218.64","226.17","78,891,133"
09/09/2024,"216.20","219.87","213.67","216.27","67,443,523"
09/06/2024,"232.60","233.60","210.51","210.73","112,177,000"
09/05/2024,"223.49","235.00","222.25","230.17","119,355,000"
09/04/2024,"210.59","222.22","210.57","219.41","80,651,766"
09/03/2024,"215.26","219.90","209.64","210.60","76,551,800"
08/30/2024,"208.63","214.57","207.03","214.11","63,370,609"
08/29/2024,"209.80","214.89","205.97","206.28","62,308,820"
08/28/2024,"209.72","211.84","202.59","205.75","64,116,352"
08/27/2024,"213.25","215.66","206.94","209.21","62,821,391"
08/26/2024,"218.75","219.09","211.01","213.21","59,301,191"
08/23/2024,"214.46","221.48","214.21","220.32","81,525,211"
08/22/2024,"223.82","224.80","210.32","210.66","79,514,477"
08/21/2024,"222.67","224.66","218.86","223.27","70,145,961"
08/20/2024,"224.88","228.22","219.56","221.10","74,001,188"
08/19/2024,"217.07","222.98","214.09","222.72","76,435,219"
08/16/2024,"211.15","219.80","210.80","216.12","88,765,117"
08/15/2024,"205.02","215.88","204.82","214.14","89,848,531"
08/14/2024,"207.39","208.44","198.75","201.38","70,250,008"
08/13/2024,"198.47","208.49","197.06","207.83","76,247,391"
08/12/2024,"199.02","199.26","194.67","197.49","64,044,898"
08/09/2024,"197.05","200.88","195.11","200.00","58,648,273"
08/08/2024,"195.70","200.70","192.04","198.84","65,033,871"
08/07/2024,"200.77","203.49","191.48","191.76","71,159,773"
08/06/2024,"200.75","202.90","192.67","200.64","73,783,938"
08/05/2024,"185.22","203.88","182.00","198.88","100,308,797"
08/02/2024,"214.88","216.13","205.78","207.67","82,880,117"
08/01/2024,"227.69","231.87","214.33","216.86","83,861,906"
07/31/2024,"227.90","234.68","226.79","232.07","67,497,008"
07/30/2024,"232.25","232.41","220.00","222.62","100,560,305"
07/29/2024,"224.90","234.27","224.70","232.10","129,201,797"
07/26/2024,"221.19","222.28","215.33","219.80","94,604,148"
07/25/2024,"216.80","226.00","216.23","220.25","100,636,492"
07/24/2024,"225.42","225.99","214.71","215.99","167,942,891"
07/23/2024,"253.60","255.76","245.63","246.38","111,928,203"
07/22/2024,"244.21","253.21","243.75","251.51","101,225,398"
07/19/2024,"247.79","249.44","236.83","239.20","87,403,906"
07/18/2024,"251.09","257.14","247.20","249.23","110,869,000"
07/17/2024,"252.73","258.47","246.18","248.50","115,584,797"
07/16/2024,"255.31","258.62","245.80","256.56","126,332,492"
07/15/2024,"255.97","265.60","251.73","252.64","146,912,891"
07/12/2024,"235.80","251.84","233.09","248.23","155,955,812"
07/11/2024,"263.30","271.00","239.65","241.03","221,707,297"
07/10/2024,"262.80","267.59","257.86","263.26","128,519,398"
07/09/2024,"251.00","265.61","250.30","262.33","160,742,500"
07/08/2024,"247.71","259.44","244.57","252.94","157,219,594"
07/05/2024,"249.81","252.37","242.46","251.52","154,501,203"
07/03/2024,"234.56","248.35","234.25","246.39","166,561,500"
07/02/2024,"218.89","231.30","218.06","231.26","205,047,906"
07/01/2024,"201.02","213.23","200.85","209.86","135,691,391"
06/28/2024,"199.55","203.20","195.26","197.88","95,438,070"
06/27/2024,"195.17","198.72","194.05","197.42","72,746,523"
06/26/2024,"186.54","197.76","186.36","196.37","95,737,070"
06/25/2024,"184.40","187.97","182.01","187.35","63,678,273"
06/24/2024,"184.97","188.80","182.55","182.58","61,992,070"
06/21/2024,"182.30","183.95","180.69","183.01","63,029,480"
06/20/2024,"184.68","185.21","179.66","181.57","55,893,141"
06/18/2024,"186.56","187.20","182.37","184.86","68,982,273"
06/17/2024,"177.92","188.81","177.00","187.44","109,786,094"
06/14/2024,"185.80","186.00","176.92","178.01","82,038,195"
06/13/2024,"188.39","191.08","181.23","182.47","118,984,094"
06/12/2024,"171.12","180.55","169.80","177.29","90,389,445"
06/11/2024,"173.92","174.75","167.41","170.66","64,761,930"
06/10/2024,"176.06","178.57","173.17","173.79","50,869,680"
06/07/2024,"176.13","179.35","175.58","177.48","56,244,930"
06/06/2024,"174.60","179.73","172.73","177.94","69,887,023"
06/05/2024,"175.35","176.15","172.13","175.00","57,953,762"
06/04/2024,"174.78","177.76","174.00","174.77","60,056,340"
06/03/2024,"178.13","182.64","174.49","176.29","68,568,922"
05/31/2024,"178.50","180.32","173.82","178.08","67,314,602"
05/30/2024,"178.58","182.67","175.38","178.79","77,784,758"
05/29/2024,"174.19","178.15","173.93","176.19","54,782,648"
05/28/2024,"176.40","178.25","173.16","176.75","59,736,621"
05/24/2024,"174.84","180.08","173.73","179.24","65,584,477"
05/23/2024,"181.80","181.90","173.26","173.74","71,975,508"
05/22/2024,"182.85","183.80","178.12","180.11","88,313,477"
05/21/2024,"175.51","186.88","174.71","186.60","115,266,492"
05/20/2024,"177.56","177.75","173.52","174.95","61,727,434"
05/17/2024,"173.55","179.63","172.75","177.46","77,445,852"
05/16/2024,"174.10","175.79","171.43","174.84","59,812,219"
05/15/2024,"179.90","180.00","173.11","173.99","79,662,992"
05/14/2024,"174.50","179.49","174.07","177.55","86,407,422"
05/13/2024,"170.00","175.40","169.00","171.89","67,018,898"
05/10/2024,"173.05","173.06","167.75","168.47","72,627,188"
05/09/2024,"175.01","175.62","171.37","171.97","65,950,289"
05/08/2024,"171.59","176.06","170.15","174.72","79,969,484"
05/07/2024,"182.40","183.26","177.40","177.81","75,045,852"
05/06/2024,"183.80","187.56","182.20","184.76","84,390,250"
05/03/2024,"182.10","184.78","178.42","181.19","75,491,539"
05/02/2024,"182.86","184.60","176.02","180.01","89,148,039"
